City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.94,86,100,14.38,light rain
1,Emerald,AU,-23.5333,148.1667,76.33,73,0,8.5,clear sky
2,Hobart,AU,-42.8794,147.3294,57.11,55,75,1.99,broken clouds
3,Monster,NL,52.0258,4.175,35.01,80,14,1.99,few clouds
4,Nikolskoye,RU,59.7035,30.7861,11.01,95,100,7.36,snow
5,Codrington,AU,-38.2667,141.9667,58.06,73,100,8.79,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,56.82,66,40,37.98,scattered clouds
7,Nome,US,64.5011,-165.4064,15.87,79,20,9.22,few clouds
8,Haines Junction,CA,60.7522,-137.5108,21.49,90,100,6.8,overcast clouds
9,Kasongo-Lunda,CD,-6.4667,16.8167,71.19,97,99,0.63,light rain
10,Bardiyah,LY,31.7561,25.0865,56.73,77,18,14.92,few clouds
11,Ponta Do Sol,PT,32.6667,-17.1,66.7,81,100,8.9,overcast clouds
12,Lebu,CL,-37.6167,-73.65,60.26,72,0,21.59,clear sky
13,Bairiki,KI,1.3292,172.9752,84.2,74,40,4.61,scattered clouds
14,Provideniya,RU,64.3833,-173.3,14.11,73,0,2.24,clear sky
15,Narsaq,GL,60.9167,-46.05,46.62,58,100,14.99,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,63.48,46,46,10.36,scattered clouds
17,Samarai,PG,-10.6167,150.6667,81.66,76,20,2.17,few clouds
18,Hamilton,US,39.1834,-84.5333,47.05,63,1,1.99,clear sky
19,Semporna,MY,4.4818,118.6112,77.2,88,99,7.43,overcast clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,68.88,92,21,11.99,few clouds
21,Bayonet Point,US,28.3267,-82.6834,68.45,93,100,7.0,overcast clouds
22,Busselton,AU,-33.65,115.3333,59.04,89,0,9.93,clear sky
23,Carnarvon,AU,-24.8667,113.6333,69.87,83,8,17.27,clear sky
24,Fenoarivo,MG,-18.933,47.4354,66.27,94,75,4.61,light rain
25,Egvekinot,RU,66.3167,-179.1667,-16.65,76,5,9.46,clear sky
26,Constitucion,CL,-35.3333,-72.4167,70.36,53,3,17.92,clear sky
27,Muisne,EC,0.6,-80.0333,77.11,87,100,11.21,overcast clouds
28,Nyurba,RU,63.2842,118.3319,-52.29,100,61,1.01,broken clouds
29,Atuona,PF,-9.8,-139.0333,78.37,75,100,17.0,overcast clouds
30,Zhaoqing,CN,23.0512,112.4597,56.61,95,72,2.08,broken clouds
31,Bengkulu,ID,-3.8004,102.2655,76.41,89,65,4.5,broken clouds
32,Olafsvik,IS,64.8945,-23.7142,36.07,66,100,15.77,overcast clouds
33,Chuy,UY,-33.6971,-53.4616,73.98,57,65,8.37,broken clouds
34,San Patricio,US,28.017,-97.5169,71.02,46,5,1.81,clear sky
35,Vaini,TO,-21.2,-175.2,84.36,94,75,8.05,light rain
36,Albany,US,42.6001,-73.9662,37.81,72,89,2.91,overcast clouds
37,Aykhal,RU,66.0,111.5,-20.09,100,99,3.91,overcast clouds
38,Salalah,OM,17.0151,54.0924,71.69,73,0,3.44,clear sky
39,Okitipupa,NG,6.5047,4.7839,74.59,66,32,2.35,scattered clouds
40,New Norfolk,AU,-42.7826,147.0587,56.75,38,91,9.06,overcast clouds
41,Airai,TL,-8.9266,125.4092,60.49,91,100,0.81,overcast clouds
42,Lasa,IT,46.6166,10.7002,31.46,50,2,3.27,clear sky
43,Punta Arenas,CL,-53.15,-70.9167,60.91,55,40,31.07,scattered clouds
44,Souillac,MU,-20.5167,57.5167,79.18,78,75,12.66,broken clouds
45,Sistranda,NO,63.7256,8.834,35.91,92,100,18.1,overcast clouds
46,Kapaa,US,22.0752,-159.319,75.18,77,75,5.99,moderate rain
47,Port-Gentil,GA,-0.7193,8.7815,81.64,81,47,10.29,scattered clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,75,9.6,broken clouds
49,Kodino,RU,63.7198,39.6447,-0.47,96,96,4.36,overcast clouds
50,Thinadhoo,MV,0.5333,72.9333,80.02,80,95,5.55,overcast clouds
51,Ponta Delgada,PT,37.7333,-25.6667,67.5,88,75,19.57,broken clouds
52,Thompson,CA,55.7435,-97.8558,-11.04,70,20,4.61,few clouds
53,Asau,RO,46.4333,26.4,19.76,92,79,3.2,broken clouds
